,lat,lon,time
476,48.156908,17.126829,20250825140810
477,48.156961,17.126935,20250825140811
478,48.157027,17.127012,20250825140812
479,48.157084,17.127088,20250825140813
480,48.157151,17.127172,20250825140814
481,48.157208,17.127238,20250825140815
482,48.157253,17.127292,20250825140816
483,48.157304,17.127346,20250825140817
484,48.157347,17.127421,20250825140818
485,48.157395,17.127502,20250825140819
486,48.157444,17.127575,20250825140820
487,48.157486,17.127639,20250825140821
488,48.157529,17.127694,20250825140822
489,48.157578,17.127754,20250825140823
490,48.157622,17.127802,20250825140824
491,48.157662,17.127856,20250825140825
492,48.157703,17.127915,20250825140826
493,48.157739,17.127961,20250825140827
494,48.157771,17.127992,20250825140828
495,48.157801,17.128007,20250825140829
496,48.157804,17.128009,20250825140830
497,48.157807,17.128022,20250825140831
498,48.15781,17.128034,20250825140832
499,48.157814,17.128046,20250825140833
500,48.157817,17.128059,20250825140834
501,48.15782,17.128071,20250825140835
502,48.157823,17.128083,20250825140836
503,48.157826,17.128095,20250825140837
504,48.157829,17.128108,20250825140838
505,48.157833,17.12812,20250825140839
506,48.157836,17.128132,20250825140840
507,48.157839,17.128145,20250825140908
508,48.157842,17.128157,20250825140909
509,48.157877,17.128196,20250825140910
510,48.157902,17.128257,20250825140911
511,48.157927,17.128328,20250825140912
512,48.157987,17.128377,20250825140913
513,48.158042,17.12843,20250825140914
514,48.15809,17.128504,20250825140915
515,48.15814,17.128564,20250825140916
516,48.15819,17.128642,20250825140917
517,48.158238,17.128706,20250825140918
518,48.158266,17.128792,20250825140919
519,48.158316,17.128852,20250825140920
520,48.158361,17.128914,20250825140921
521,48.158401,17.128983,20250825140922
522,48.15846,17.129039,20250825140923
523,48.158532,17.129089,20250825140924
524,48.158617,17.129129,20250825140925
525,48.158694,17.129197,20250825140926
526,48.158756,17.129257,20250825140927
527,48.158853,17.129273,20250825140928
528,48.158927,17.129307,20250825140929
529,48.159003,17.12936,20250825140930
530,48.159092,17.129388,20250825140931
531,48.159143,17.12945,20250825140932
532,48.159201,17.129499,20250825140933
533,48.159252,17.129568,20250825140934
534,48.159308,17.129625,20250825140935
535,48.159359,17.129661,20250825140936
536,48.159416,17.129631,20250825140937
537,48.159515,17.129698,20250825140938
538,48.159616,17.129739,20250825140939
539,48.15967,17.129787,20250825140940
540,48.159718,17.129853,20250825140941
541,48.15977,17.12989,20250825140942
542,48.159841,17.129927,20250825140943
543,48.159895,17.129987,20250825140944
544,48.159947,17.13002,20250825140945
545,48.160008,17.130063,20250825140946
546,48.16007,17.130107,20250825140947
547,48.160133,17.130165,20250825140948
548,48.160194,17.130244,20250825140949
549,48.160239,17.130282,20250825140950
550,48.160283,17.130362,20250825140951
551,48.160368,17.130407,20250825140952
552,48.160444,17.130436,20250825140953
553,48.160506,17.130508,20250825140954
554,48.160573,17.130585,20250825140955
555,48.160653,17.130628,20250825140956
556,48.160705,17.130703,20250825140957
557,48.160744,17.13075,20250825140958
558,48.160813,17.130803,20250825140959
559,48.160822,17.130848,20250825141000
560,48.160894,17.130935,20250825141001
561,48.160959,17.131047,20250825141002
562,48.16103,17.1311,20250825141003
563,48.161085,17.131161,20250825141004
564,48.161154,17.131189,20250825141005
565,48.161195,17.131225,20250825141006
566,48.16125,17.131277,20250825141007
567,48.161304,17.131325,20250825141008
568,48.161387,17.131363,20250825141009
569,48.161509,17.131344,20250825141010
570,48.161544,17.131407,20250825141011
571,48.1616,17.131436,20250825141012
572,48.161631,17.131513,20250825141013
573,48.161671,17.13155,20250825141014
574,48.161696,17.131615,20250825141015
575,48.161766,17.131638,20250825141016
576,48.161837,17.131725,20250825141017
577,48.161921,17.131764,20250825141018
578,48.161997,17.131819,20250825141019
579,48.162032,17.131872,20250825141020
580,48.162076,17.131921,20250825141021
581,48.162109,17.132012,20250825141022
582,48.162143,17.132071,20250825141023
583,48.16219,17.132155,20250825141024
584,48.162235,17.132192,20250825141025
585,48.162307,17.132211,20250825141026
586,48.162368,17.132252,20250825141027
587,48.162433,17.132325,20250825141028
